date,tobs,tmax,tmin,tavg,precip_accum,swe,solar_ins,solar_short,flow,albedo,snowcover,cloudcover
5/14/2000,3.3,9.6,-3,3.5,37.1,27.6,457.7756348,291.5790405,86.14,0.11667,9,91.40893471
5/15/2000,6.9,12,3.1,7.6,37.1,27.2,459.0793152,283.0330811,82.61,0.22446,20.5695,100
5/16/2000,7.2,14.3,5.8,9.4,37.1,26.6,460.2803955,265.0200195,88.73,0.33225,32.139,60.13745704
5/17/2000,-1.7,8.6,-2.1,3.3,37.1,26,461.3895569,283.8670654,86.49,0.31396,53.368,0
5/18/2000,0,6.2,-4,0.6,37.5,25.6,462.5249023,242.1625824,85.21,0.32889,9.953,63.57388316
5/19/2000,2.9,6.8,-0.3,3.3,37.5,24.9,463.6499023,281.5617371,97.79,0.332326667,8.791,100
5/20/2000,4.8,11,1.9,6,37.5,23.5,464.7774658,359.5363159,120.7,0.335763333,7.629,0
5/21/2000,7.7,12,2.1,7.4,37.5,21.5,466.0243225,326.3886719,144.78,0.3392,6.467,100
5/22/2000,8.8,14.7,5.5,10,37.5,19.3,467.2802734,334.3205261,197.52,0.342636667,5.305,100
5/23/2000,11.7,17.2,8.1,13.2,37.5,17,468.4505615,351.8044128,253.44,0.346073333,4.143,97.59450172
5/24/2000,11.9,16.6,9.5,12.9,37.5,14.7,469.5455017,246.3190308,254.3,0.34951,12.89,0
5/25/2000,5.5,13.8,3.8,9.1,37.9,13.1,470.4919128,242.5968933,242.83,0.32613,20.003,0
5/26/2000,4.2,15.5,3.1,6.9,38.2,11.6,471.3397217,297.9920349,321.54,0.36857,4.773,0
5/27/2000,5.9,10.7,3.8,6.3,38.2,9.8,472.1558533,362.7953186,290.41,0.34175,12.282,1.374570447
5/28/2000,13.9,15.9,4.4,11.6,38.2,7.6,472.9458008,361.9395752,336.39,0.255,18.096,0
5/29/2000,14,19.6,11.5,15.1,38.2,4.6,473.6922302,364.6850586,387.83,0.369,3.117,0
5/30/2000,8.7,19.9,8.7,14.2,38.2,2.3,474.3886414,368.8230286,363.98,0.30217,7.578,3.092783505
5/31/2000,8.5,18.5,7.5,12.2,38.2,1.1,475.0523987,378.6159058,303.56,0.301085,0,0
6/1/2000,2.3,9.8,1.9,6.2,38.2,0.5,475.7590332,385.8468933,225.69,0.3,0.302,0
6/2/2000,10.1,18.2,1.4,10.3,38.2,0.1,476.4768372,377.6723022,233.76,0.30375,0.804,80.75601375
6/3/2000,13.2,18.3,10,14.3,38.2,0,477.0867004,374.7393188,235.82,0.3075,1.027,0
